Date,Active_Signals,Avg_Alpha_Magnitude,Avg_Confidence,Signal_Dispersion,Max_Alpha,Min_Alpha,Fallback_Count
2016-01-06,13,0.004648676328626202,,,0.015487117190309855,-0.00465802515962434,4
2016-02-05,12,0.007733026693679853,,,0.004629875078167398,-0.04426881903643105,3
2016-03-08,12,0.006467481310080028,,,0.005411213949663895,-0.025,5
2016-04-07,15,0.005130596561660019,0.03324401182629716,0.012772427859618442,0.05,-0.004248402343817784,0
2016-05-06,13,0.009047802195524753,,,0.033528823451297374,-0.025,4
2016-06-07,13,0.014621266168338302,,,0.05,-0.05,5
2016-07-07,15,0.010490009928737387,0.03563819602583044,0.017151790224255503,0.04293929211721128,-0.03277553865841136,0
2016-08-05,13,0.0115113176460751,,,0.05,-0.02879398067513714,4
2016-09-06,14,0.013052557307728621,,,0.025,-0.025,8
2016-10-05,14,0.011631057433119044,,,0.05,-0.013420378052528603,4
2016-11-03,14,0.006814573588140923,,,0.022426446135319588,-0.034281555993725885,1
2016-12-05,14,0.005483313938840999,,,0.015129260286136502,-0.020577565495312488,2
2017-01-05,15,0.008932534775934926,0.10468572018364232,0.012620586217533375,0.025,-0.023262552756805163,4
2017-02-06,14,0.013168383781805227,,,0.029560141729889498,-0.025,5
2017-03-08,14,0.01008635031866596,,,0.02696971794517027,-0.032638848634976216,4
2017-04-06,13,0.010166296276159876,,,0.05,-0.025,3
2017-05-08,15,0.008413508501983302,0.09022449865488126,0.01461660895720524,0.05,-0.0036418372993912563,3
2017-06-07,13,0.01520255485067254,,,0.05,-0.04347356441726302,4
2017-07-07,13,0.011427513701783255,,,0.04506761736757601,-0.03909797672719586,3
2017-08-07,15,0.01065552849696561,0.07138426604729757,0.018276560186284516,0.04420249285071258,-0.041678652424988825,2
2017-09-07,15,0.01056320879483922,0.07361576571488483,0.018173727447671168,0.05,-0.033726100580948694,2
2017-10-06,14,0.012921714165349806,,,0.034831550440811695,-0.02561821070412271,5
2017-11-06,14,0.011687425863207618,,,0.05,-0.026614565633953834,3
2017-12-06,14,0.010372185231889158,,,0.05,-0.0054418372993912546,2
2018-01-08,14,0.014070097419717367,,,0.05,-0.005015805836603779,4
2018-02-07,12,0.017704329879800668,,,0.05,-0.025,7
2018-03-09,13,0.01090393288983595,,,0.05,-0.006041837299391255,3
2018-04-10,14,0.007631267680308772,,,0.05,-0.025,3
2018-05-09,15,0.009772803184616945,0.07320299821850072,0.01639036291742921,0.05,-0.025,2
2018-06-08,13,0.00815910558276401,,,0.05,-0.027615261844746473,3
2018-07-10,13,0.009842670191987812,,,0.03283483462416532,-0.038408041856083215,4
2018-08-08,14,0.01258912800831297,,,0.05,-0.004111442820074042,4
2018-09-07,15,0.014424823816391956,0.09176090776041351,0.0219547965822649,0.05,-0.025,3
2018-10-08,13,0.008246931851830681,,,0.05,-0.004317462897717997,2
2018-11-06,15,0.01152623350792076,0.10796255591729431,0.017246808486248703,0.044098314131498874,-0.025,4
2018-12-07,14,0.013658746914087935,,,0.05,-0.05,3
2019-01-09,15,0.019287292822320615,0.08595176700387318,0.024667842617780072,0.05,-0.05,2
2019-02-08,15,0.019383664886856236,0.0892820893827518,0.025797193164130334,0.05,-0.05,3
2019-03-12,15,0.014882272982698118,0.08616663688564379,0.022543539696459915,0.05,-0.05,3
2019-04-10,14,0.013128438784344786,,,0.05,-0.05,2
2019-05-10,15,0.014712560510124373,0.08461650223019122,0.023281538925731156,0.05,-0.05,3
2019-06-11,14,0.012617157650081279,,,0.05,-0.05,1
2019-07-11,15,0.013568176763975244,0.0685911845851194,0.021953570812165164,0.0357830734295721,-0.05,3
2019-08-09,14,0.011454894521324905,,,0.035186396581249064,-0.05,3
2019-09-10,13,0.018311159281016974,,,0.05,-0.05,5
2019-10-09,14,0.01811644568719209,,,0.05,-0.05,1
2019-11-07,15,0.01814536368357317,0.12428074027351048,0.024236123543549596,0.05,-0.05,5
2019-12-09,14,0.010090652461944882,,,0.025,-0.025,4
2020-01-09,15,0.010660579982170432,0.07090721262231152,0.017650596375667005,0.05,-0.025,3
