Date,SCHW
2023-03-08,0.5450208983407423
2023-03-09,0.5452475357423339
2023-03-10,0.550178451243113
2023-03-13,0.5453288128900373
2023-03-14,0.542853864672113
2023-03-15,0.5445982352003453
2023-03-16,0.5489585340066957
2023-03-17,0.546267644740598
2023-03-20,0.5446168140778452
2023-03-21,0.552465108134668
2023-03-22,0.543310454605337
2023-03-23,0.5449049624461453
2023-03-24,0.5539126545201983
2023-03-27,0.5469544665889828
2023-03-28,0.5477655022029911
2023-03-29,0.5528671364571852
2023-03-30,0.5503380359567407
2023-03-31,0.5422857167527244
2023-04-03,0.5530941676510452
2023-04-04,0.5488961955075656
2023-04-05,0.5467866039687984
2023-04-06,0.5591849186851768
2023-04-10,0.5412048382430525
2023-04-11,0.5495590530654398
2023-04-12,0.547990055573696
2023-04-13,0.5486552691173089
2023-04-14,0.5458135590221727
2023-04-17,0.5614554990674984
2023-04-18,0.5422399095451216
2023-04-19,0.551674649065299
2023-04-20,0.553221165438503
2023-04-21,0.5431453936543883
2023-04-24,0.5484783293438975
2023-04-25,0.5478876807080201
2023-04-26,0.5434570440885061
2023-04-27,0.5432952647199127
2023-04-28,0.5518494562103443
2023-05-01,0.5548081095935169
2023-05-02,0.5469503669923141
2023-05-03,0.5541921539690922
2023-05-04,0.5479249198760624
2023-05-05,0.5603242066105462
2023-05-08,0.5481851637881823
2023-05-09,0.553187139907208
2023-05-10,0.5588368077653855
2023-05-11,0.55208839876707
2023-05-12,0.545434603638682
2023-05-15,0.5556117398208508
2023-05-16,0.5467134313776506
2023-05-17,0.5556552887158083
2023-05-18,0.5470442317021642
2023-05-19,0.5497422357209986
2023-05-22,0.5560980955314433
2023-05-23,0.5553396124238704
2023-05-24,0.5478711262454344
2023-05-25,0.5429761876019641
2023-05-26,0.5448256611751358
2023-05-30,0.547150838742819
2023-05-31,0.5417739867554087
2023-06-01,0.5450203979965841
2023-06-02,0.5545410534321897
2023-06-05,0.5523007528083773
2023-06-06,0.5565978333050269
2023-06-07,0.5414483547818237
2023-06-08,0.5546523594145863
2023-06-09,0.5433756835443018
2023-06-12,0.54828319018779
2023-06-13,0.540290646381539
2023-06-14,0.554408872494636
2023-06-15,0.5457966235175595
2023-06-16,0.5532832962184103
2023-06-20,0.5464470323007017
2023-06-21,0.5420675649173448
2023-06-22,0.5555441670973819
2023-06-23,0.5471629136190745
2023-06-26,0.5431782054868645
2023-06-27,0.5428357096203074
2023-06-28,0.5424659727959998
2023-06-29,0.548215785382269
2023-06-30,0.5503067117644777
2023-07-03,0.5433106826433759
2023-07-05,0.5547008841660487
2023-07-06,0.5578262208116165
2023-07-07,0.5450891327431565
2023-07-10,0.5453067061474101
2023-07-11,0.5463984315853891
2023-07-12,0.5353708902432194
2023-07-13,0.5432318300505361
2023-07-14,0.5475185844248385
2023-07-17,0.5462410862934773
2023-07-18,0.5524246786268245
2023-07-19,0.5539263637581797
2023-07-20,0.5545401553615824
2023-07-21,0.54620158695427
2023-07-24,0.542653080771808
2023-07-25,0.543729983478965
2023-07-26,0.5524798362794073
2023-07-27,0.5548985274945805
2023-07-28,0.5546805450924368
2023-07-31,0.5492366317314173
2023-08-01,0.5412697428487018
2023-08-02,0.5553575800578374
2023-08-03,0.5377160455781237
2023-08-04,0.5471677480593673
2023-08-07,0.5443062826994342
2023-08-08,0.5427972129780979
2023-08-09,0.5518412031621599
2023-08-10,0.5472375394201552
2023-08-11,0.5536547354756681
2023-08-14,0.5502864277438427
2023-08-15,0.5405131913820043
2023-08-16,0.5572931909378243
2023-08-17,0.5452144573549007
2023-08-18,0.5459102112210202
2023-08-21,0.5456758920127937
2023-08-22,0.5492108182815921
2023-08-23,0.5359141060740299
2023-08-24,0.545734695150062
2023-08-25,0.5479876764854096
2023-08-28,0.5381659684838244
2023-08-29,0.5432761276031645
2023-08-30,0.5479131530024435
2023-08-31,0.5482674482194007
2023-09-01,0.5410066465967355
2023-09-05,0.5544378287879996
2023-09-06,0.5553472857887315
2023-09-07,0.5584465659018633
2023-09-08,0.5502169695677338
2023-09-11,0.544355017541085
2023-09-12,0.5477474377057835
2023-09-13,0.5457687034791743
2023-09-14,0.5420607197411568
2023-09-15,0.5546988607226296
2023-09-18,0.5542898424878678
2023-09-19,0.5446374108364441
2023-09-20,0.5455518751595209
2023-09-21,0.5511154082607091
